Account ID;Customer Name;Account Type;Branch;Transaction Type;Transaction Amount;Account Balance;Currency
ACC00001;Amanda Pugh;Recurring Deposit;New York;Debit;2687,19;36676,19;GBP
ACC00002;Amanda Wilcox;Recurring Deposit;Houston;Debit;3886,77;28582,82;USD
ACC00003;Kimberly Valenzuela;Current;New York;Credit;2438,74;76599,56;GBP
ACC00004;Sonia Ballard;Recurring Deposit;Philadelphia;Credit;2758,53;62317,6;INR
ACC00005;Erika Russell;Current;Philadelphia;Debit;3287;85515,21;INR
ACC00006;William Sanchez;Savings;New York;Debit;143,5;43853,88;INR
ACC00007;Virginia Sanchez;Savings;New York;Debit;3048,44;8712,06;USD
ACC00008;David Martin;Fixed Deposit;San Diego;Debit;3157,34;41826,02;GBP
ACC00009;Molly Riley;Current;Philadelphia;Debit;198,08;99240,82;INR
ACC00010;Alex Chaney;Current;New York;Credit;983,58;67885,77;EUR
ACC00011;Anna Silva;Savings;San Diego;Debit;958,89;5455,21;GBP
ACC00012;Christopher Flores;Recurring Deposit;Chicago;Debit;4496,16;98421,25;EUR
ACC00013;Gina Harris;Recurring Deposit;Los Angeles;Credit;3269,04;94234,05;JPY
ACC00014;Roy Williams;Fixed Deposit;New York;Debit;563,04;4666,74;EUR
ACC00015;Marc Schroeder;Fixed Deposit;Philadelphia;Credit;3855,88;59424,05;USD
ACC00016;Jennifer Bennett;Recurring Deposit;New York;Debit;4620,5;9361,88;JPY
ACC00017;Tina Lee;Fixed Deposit;Houston;Debit;4269,35;38544,65;GBP
ACC00018;Jessica Nash;Fixed Deposit;San Antonio;Debit;4260,07;75061,47;USD
ACC00019;Kevin Farley;Savings;Philadelphia;Debit;4350,95;6589,13;GBP
ACC00020;Jerome Stewart;Current;Los Angeles;Credit;2563,52;82842,03;USD
ACC00021;Bobby Butler;Savings;Houston;Debit;2104,23;10526,6;INR
ACC00022;Michelle Bruce;Fixed Deposit;Phoenix;Credit;4846,84;69502,82;INR
ACC00023;Steven Gibbs;Savings;New York;Debit;2031,96;18660,25;GBP
ACC00024;Melissa Mcfarland;Current;Los Angeles;Credit;2538,52;96065,91;GBP
ACC00025;Mary Gordon;Current;New York;Debit;133,14;61228,85;USD
